Image,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,roiArea,Red Punta Density,Green Puncta Density,Genotype,Animal,AgeP,Condition,Slice
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s2h1_Merged (combined)1.tif,68,140,68,0,3,255,3,255,4,4,1,pixels,764400,8.89587E-05,0.00018315,WT,543331,50,MD,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s3h1_Merged (combined)1.tif,85,171,76,0,3,255,3,255,4,4,1,pixels,836400,0.000101626,0.000204448,WT,543331,50,MD,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged (combined)1.tif,89,170,84,0,3,255,3,255,4,4,1,pixels,770400,0.000115524,0.000220665,WT,543331,50,MD,5
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged (combined)1.tif,92,154,72,0,3,255,3,255,4,4,1,pixels,846000,0.000108747,0.000182033,WT,543332,50,MD,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged (combined)1.tif,75,110,54,0,3,255,3,255,4,4,1,pixels,753600,9.95223E-05,0.000145966,WT,543332,50,MD,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s6h1_Merged (combined)1.tif,86,158,74,0,3,255,3,255,4,4,1,pixels,810000,0.000106173,0.000195062,WT,543332,50,MD,6
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s3h1_Merged (combined)1.tif,98,188,94,0,3,255,3,255,4,4,1,pixels,763200,0.000128407,0.000246331,WT,543333,50,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged (combined)1.tif,93,143,76,0,3,255,3,255,4,4,1,pixels,769200,0.000120905,0.000185907,WT,543333,50,NR,4
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s3h1_Merged (combined)1.tif,80,176,72,0,3,255,3,255,4,4,1,pixels,694800,0.000115141,0.00025331,WT,543334,50,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s4h1_Merged (combined)1.tif,81,178,80,0,3,255,3,255,4,4,1,pixels,726000,0.00011157,0.000245179,WT,543334,50,NR,4
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged (combined)1.tif,70,120,50,0,3,255,3,255,4,4,1,pixels,711600,9.83699E-05,0.000168634,WT,543334,50,NR,5
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged (combined)1.tif,94,95,55,0,3,255,3,255,4,4,1,pixels,722400,0.000130122,0.000131506,WT,AC0372,49,NR,1
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged (combined)1.tif,86,84,48,0,3,255,3,255,4,4,1,pixels,738000,0.000116531,0.000113821,WT,AC0372,49,NR,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s5h1_Merged (combined)1.tif,84,113,57,0,3,255,3,255,4,4,1,pixels,709200,0.000118443,0.000159334,WT,AC0372,49,NR,5
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged (combined)1.tif,80,184,74,0,3,255,3,255,4,4,1,pixels,716400,0.000111669,0.00025684,WT,AC0373,54,MD,6
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged (combined)1.tif,70,119,44,0,3,255,3,255,4,4,1,pixels,831600,8.41751E-05,0.000143098,KO,536631,50,NR,1
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s2h1_Merged (combined)1.tif,77,162,64,0,3,255,3,255,4,4,1,pixels,834000,9.23261E-05,0.000194245,KO,536631,50,NR,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s3h1_Merged (combined)1.tif,87,148,64,0,3,255,3,255,4,4,1,pixels,882000,9.86395E-05,0.0001678,KO,536631,50,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s1h1_Merged (combined)1.tif,69,133,56,0,3,255,3,255,4,4,1,pixels,786000,8.77863E-05,0.000169211,KO,536634,50,MD,1
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged (combined)1.tif,62,141,55,0,3,255,3,255,4,4,1,pixels,778800,7.96097E-05,0.000181048,KO,536634,50,MD,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged (combined)1.tif,74,113,63,0,3,255,3,255,4,4,1,pixels,756000,9.78836E-05,0.000149471,KO,536634,50,MD,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s3h1_Merged (combined)1.tif,62,126,39,0,3,255,3,255,4,4,1,pixels,735600,8.42849E-05,0.000171289,KO,536635,50,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s4h1_Merged (combined)1.tif,62,137,45,0,3,255,3,255,4,4,1,pixels,697200,8.89271E-05,0.0001965,KO,536635,50,NR,4
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged (combined)1.tif,66,130,52,0,3,255,3,255,4,4,1,pixels,764400,8.63422E-05,0.000170068,KO,536635,50,NR,5
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged (combined)1.tif,56,158,61,0,3,255,3,255,4,4,1,pixels,826800,6.7731E-05,0.000191098,KO,AC0384,54,MD,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged (combined)1.tif,69,165,69,0,3,255,3,255,4,4,1,pixels,832800,8.2853E-05,0.000198127,KO,AC0384,54,MD,4
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s5h1_Merged (combined)1.tif,55,149,47,0,3,255,3,255,4,4,1,pixels,883200,6.22736E-05,0.000168705,KO,AC0384,54,MD,5
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s1h1_Merged (combined)1.tif,66,90,52,0,3,255,3,255,4,4,1,pixels,764400,8.63422E-05,0.000117739,KO,AC0387,49,NR,1
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged (combined)1.tif,90,119,63,0,3,255,3,255,4,4,1,pixels,789600,0.000113982,0.000150709,KO,AC0387,49,NR,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s3h1_Merged (combined)1.tif,68,124,58,0,3,255,3,255,4,4,1,pixels,784800,8.66463E-05,0.000158002,KO,AC0387,49,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s1h1_Merged (combined)1.tif,55,139,62,0,3,255,3,255,4,4,1,pixels,792000,6.94444E-05,0.000175505,KO,AC0388,54,MD,1
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s2h1_Merged (combined)1.tif,63,146,63,0,3,255,3,255,4,4,1,pixels,793200,7.94251E-05,0.000184065,KO,AC0388,54,MD,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged (combined)1.tif,71,172,80,0,3,255,3,255,4,4,1,pixels,855600,8.29827E-05,0.000201029,KO,AC0388,54,MD,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s2h1_Merged (combined)1.tif,81,144,73,0,3,255,3,255,4,4,1,pixels,795600,0.00010181,0.000180995,KO,AC0389,49,NR,2
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged (combined)1.tif,76,150,70,0,3,255,3,255,4,4,1,pixels,844800,8.99621E-05,0.000177557,KO,AC0389,49,NR,3
Output\MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s4h1_Merged (combined)1.tif,87,140,75,0,3,255,3,255,4,4,1,pixels,792000,0.000109848,0.000176768,KO,AC0389,49,NR,4
