 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0001-0283,658,31.362,12.633,744.888,283.684,744.936,283.976,730,265,28,36,0.638,20636.000,20636.000,1.410,0.709,0.868
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0002-0304,344,56.491,35.982,816.584,304.189,816.691,303.702,807,292,20,25,0.851,19433.000,19433.000,1.219,0.820,0.914
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0003-0325,651,42.450,39.269,637.961,324.459,637.466,324.705,623,310,31,30,0.810,27635.000,27635.000,1.059,0.945,0.915
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0005-0343,957,33.114,13.348,319.354,345.509,319.003,346.507,302,321,35,45,0.657,31690.000,31690.000,1.299,0.770,0.862
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0006-0343,827,44.312,34.084,68.284,344.953,68.799,344.472,50,326,35,35,0.701,36646.000,36646.000,1.013,0.988,0.889
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0009-0360,297,60.859,46.068,571.015,359.793,569.545,359.840,562,349,18,22,0.861,18075.000,18075.000,1.264,0.791,0.928
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0010-0369,454,34.707,17.401,434.154,367.830,434.106,367.735,422,355,24,28,0.842,15757.000,15757.000,1.270,0.788,0.913
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0012-0385,541,47.168,37.229,978.080,385.875,977.993,386.387,965,369,25,32,0.680,25518.000,25518.000,1.373,0.729,0.851
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0014-0388,687,50.079,43.496,1077.986,388.194,1077.783,389.490,1064,371,27,34,0.868,34404.000,34404.000,1.371,0.729,0.946
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543333_WT_P50_NR_M_s4h1_Merged.tif_rotated.tif:0016-0401,957,37.452,25.754,1175.926,399.699,1175.788,399.392,1160,377,33,48,0.679,35842.000,35842.000,1.451,0.689,0.878
