 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0004-0361,1218,24.126,11.688,166.388,360.924,166.552,360.849,149,333,34,57,0.374,29385.000,29385.000,2.028,0.493,0.763
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0007-0377,772,25.519,12.816,332.965,377.628,332.846,378.438,317,358,29,39,0.695,19701.000,19701.000,1.259,0.794,0.888
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0009-0386,408,26.091,12.143,1046.850,386.186,1046.327,385.707,1036,373,21,27,0.872,10645.000,10645.000,1.271,0.786,0.932
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0010-0396,563,30.455,26.172,255.633,396.200,257.102,395.531,243,381,27,31,0.842,17146.000,17146.000,1.139,0.878,0.921
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0011-0398,557,28.041,16.782,416.861,397.972,417.205,397.943,404,384,26,28,0.914,15619.000,15619.000,1.188,0.842,0.946
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0015-0416,392,38.992,27.712,382.696,416.635,382.191,416.554,371,405,24,23,0.884,15285.000,15285.000,1.296,0.771,0.930
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0018-0436,408,34.620,32.513,1107.426,436.799,1108.668,438.931,1098,418,18,37,0.583,14125.000,14125.000,2.408,0.415,0.831
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0021-0436,692,29.004,23.951,193.094,435.741,192.740,436.186,174,422,36,29,0.788,20071.000,20071.000,1.287,0.777,0.902
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0022-0434,357,52.613,36.226,453.195,433.228,454.175,432.732,440,423,23,22,0.758,18783.000,18783.000,1.283,0.780,0.902
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0024-0442,603,32.993,25.559,941.740,443.810,940.875,444.427,928,426,27,33,0.839,19895.000,19895.000,1.274,0.785,0.925
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0025-0444,641,29.563,21.282,816.238,446.756,815.778,446.250,800,428,31,33,0.660,18950.000,18950.000,1.117,0.895,0.867
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0026-0447,662,30.246,24.667,998.360,446.119,999.650,445.950,982,428,30,39,0.564,20023.000,20023.000,1.350,0.741,0.828
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0027-0447,457,38.061,26.881,617.962,446.933,619.029,447.002,604,432,27,30,0.748,17394.000,17394.000,1.307,0.765,0.865
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s2h1_Merged.tif_rotated.tif:0028-0454,1028,26.341,19.361,1141.796,454.043,1143.430,454.730,1116,434,51,40,0.410,27079.000,27079.000,2.214,0.452,0.744
