 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0001-0284,285,76.028,47.865,439.861,285.005,438.672,284.859,432,274,17,21,0.933,21668.000,21668.000,1.251,0.800,0.948
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0002-0290,453,40.265,22.864,891.120,290.034,891.155,289.979,877,278,27,25,0.864,18240.000,18240.000,1.269,0.788,0.932
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0003-0300,613,50.675,41.321,761.277,299.639,761.001,299.727,747,285,30,30,0.842,31064.000,31064.000,1.067,0.937,0.917
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0004-0309,784,39.064,28.188,266.708,309.092,267.276,309.039,250,293,34,32,0.893,30626.000,30626.000,1.088,0.919,0.947
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0005-0327,674,42.607,25.911,583.349,327.797,583.679,327.694,569,311,27,33,0.783,28717.000,28717.000,1.268,0.789,0.920
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0009-0369,619,43.895,37.077,564.741,368.032,564.683,367.981,550,354,29,30,0.793,27171.000,27171.000,1.131,0.885,0.914
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0011-0398,1156,31.700,20.238,894.817,398.262,894.119,395.139,879,365,34,66,0.280,36645.000,36645.000,2.591,0.386,0.692
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0012-0402,1186,35.610,16.564,293.863,405.302,292.811,405.391,272,372,46,61,0.376,42233.000,42233.000,2.284,0.438,0.732
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0013-0387,395,49.380,29.215,245.143,389.465,245.329,390.443,235,374,22,27,0.758,19505.000,19505.000,1.309,0.764,0.895
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0014-0393,561,42.399,24.993,804.728,394.550,804.497,394.488,791,377,25,32,0.798,23786.000,23786.000,1.264,0.791,0.927
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0017-0397,466,49.047,31.334,841.341,397.820,841.431,398.767,832,381,20,33,0.718,22856.000,22856.000,1.776,0.563,0.883
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0019-0422,698,48.072,32.499,252.126,418.775,252.672,417.131,237,402,30,41,0.644,33554.000,33554.000,1.605,0.623,0.861
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0021-0424,540,35.715,21.429,726.765,423.650,726.750,423.708,714,410,26,28,0.911,19286.000,19286.000,1.083,0.923,0.949
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0022-0430,699,32.866,10.026,52.792,430.549,52.441,430.828,38,414,32,33,0.763,22973.000,22973.000,1.078,0.927,0.891
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0023-0446,969,42.491,25.910,366.138,448.946,366.345,451.641,355,416,23,61,0.476,41174.000,41174.000,3.052,0.328,0.819
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0024-0435,625,46.592,35.719,679.007,435.140,679.705,435.454,663,420,32,30,0.663,29120.000,29120.000,1.650,0.606,0.889
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0025-0433,484,30.944,25.560,1043.618,433.694,1042.090,433.327,1030,420,31,27,0.642,14977.000,14977.000,1.406,0.711,0.843
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0026-0433,389,55.396,44.168,757.873,434.058,757.600,435.804,746,422,24,23,0.891,21549.000,21549.000,1.120,0.893,0.923
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0029-0452,370,44.986,36.225,1025.089,453.381,1026.075,452.943,1013,441,24,23,0.834,16645.000,16645.000,1.070,0.935,0.914
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0030-0455,457,41.895,37.940,804.776,456.187,805.616,456.499,792,443,26,24,0.840,19146.000,19146.000,1.177,0.849,0.941
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0031-0454,359,39.195,20.565,441.394,454.219,441.648,454.319,430,444,23,20,0.916,14071.000,14071.000,1.173,0.852,0.942
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0032-0458,287,59.843,42.145,759.441,458.277,759.312,457.862,749,449,21,18,0.933,17175.000,17175.000,1.301,0.768,0.943
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0033-0470,771,54.783,42.201,173.385,468.517,171.786,468.225,150,456,43,28,0.612,42238.000,42238.000,1.789,0.559,0.860
24,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0035-0482,677,33.009,15.496,294.552,484.559,295.598,483.596,278,457,31,50,0.427,22347.000,22347.000,2.996,0.334,0.716
25,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0038-0478,161,100.050,49.516,755.711,478.090,755.588,477.385,748,471,15,15,0.935,16108.000,16108.000,1.008,0.992,0.917
26,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0039-0485,615,33.663,22.684,732.799,486.126,733.176,486.267,714,472,36,26,0.745,20703.000,20703.000,1.473,0.679,0.894
