 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0001-0244,480,54.571,38.604,568.263,244.421,568.013,244.857,556,229,23,30,0.837,26194,26194,1.417,0.706,0.933
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0002-0246,592,74.671,61.829,485.797,246.221,484.193,244.602,473,231,26,31,0.857,44205,44205,1.460,0.685,0.945
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0003-0314,709,61.872,42.619,751.518,312.760,751.304,312.757,737,298,29,33,0.861,43867,43867,1.172,0.853,0.947
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0004-0310,224,54.250,27.993,193.580,310.549,194.358,310.842,186,300,16,21,0.709,12152,12152,1.711,0.584,0.836
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0005-0320,475,61.278,41.435,256.677,321.887,257.677,320.390,244,306,23,29,0.790,29107,29107,1.515,0.660,0.921
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0006-0322,669,73.100,55.246,691.920,321.333,692.913,320.509,677,306,31,33,0.729,48904,48904,1.199,0.834,0.883
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0007-0335,311,55.942,25.070,433.050,336.021,432.801,336.466,422,325,22,20,0.788,17398,17398,1.305,0.766,0.904
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0009-0363,494,84.891,55.507,713.747,363.016,714.679,363.603,702,350,24,26,0.927,41936,41936,1.145,0.874,0.950
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0010-0374,956,62.190,42.934,27.636,373.688,28.432,372.793,4,353,50,43,0.433,59454,59454,2.490,0.402,0.789
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0011-0376,671,59.562,36.074,563.654,376.013,563.500,376.027,552,356,25,41,0.736,39966,39966,1.764,0.567,0.912
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0012-0375,784,47.027,27.829,1021.017,375.394,1021.164,375.080,1003,358,33,34,0.828,36869,36869,1.113,0.899,0.939
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0013-0380,633,53.444,35.384,737.617,380.492,737.471,380.162,725,361,25,39,0.693,33830,33830,1.940,0.515,0.909
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0014-0396,1194,56.114,29.715,523.207,396.832,523.401,396.141,508,368,34,56,0.641,67000,67000,1.651,0.606,0.891
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0015-0385,458,48.245,26.896,1067.832,385.142,1067.653,384.647,1056,372,23,27,0.897,22096,22096,1.141,0.877,0.943
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0016-0395,550,62.642,37.096,319.949,393.924,319.100,393.621,305,380,30,30,0.611,34453,34453,1.241,0.806,0.865
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0017-0408,1035,60.401,40.429,950.336,406.516,950.401,404.563,937,381,27,54,0.631,62515,62515,2.360,0.424,0.879
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0018-0399,419,49.208,24.611,1170.636,399.748,1170.401,400.514,1160,385,22,29,0.816,20618,20618,1.521,0.657,0.905
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0019-0401,576,53.792,24.817,421.896,400.628,422.049,400.619,410,386,23,31,0.858,30984,30984,1.434,0.697,0.949
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0020-0410,573,55.478,33.066,265.210,411.599,265.171,411.279,255,389,20,43,0.593,31789,31789,2.645,0.378,0.873
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0021-0404,458,48.939,23.713,129.325,404.803,128.991,404.901,118,391,22,27,0.890,22414,22414,1.286,0.777,0.943
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0022-0411,697,57.951,40.859,480.994,411.533,480.181,411.520,465,397,34,29,0.672,40392,40392,1.233,0.811,0.891
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0023-0431,488,53.041,22.319,105.016,431.432,105.297,431.787,95,415,20,32,0.799,25884,25884,1.725,0.580,0.926
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0024-0455,1243,60.268,40.023,357.123,458.379,357.269,461.015,343,422,29,66,0.536,74913,74913,2.752,0.363,0.851
24,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0025-0450,1492,60.874,45.431,1070.847,448.700,1072.333,450.757,1041,423,60,55,0.281,90824,90824,1.605,0.623,0.685
25,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0388_KO_P54_MD_M_s3h1_Merged.tif_rotated.tif:0026-0439,492,67.254,42.124,814.203,439.026,814.479,439.506,801,424,25,31,0.655,33089,33089,1.135,0.881,0.863
