 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0002-0366,537,29.503,8.078,604.386,366.606,604.271,366.684,595,349,20,35,0.810,15843.000,15843.000,1.694,0.590,0.944
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0003-0378,467,22.146,6.955,1167.299,379.753,1167.871,380.093,1157,359,21,38,0.587,10342.000,10342.000,2.084,0.480,0.826
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0004-0374,499,33.862,13.070,456.576,373.432,456.518,373.805,444,361,25,26,0.905,16897.000,16897.000,1.231,0.813,0.952
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0006-0394,565,25.055,8.026,285.574,395.705,285.856,396.170,274,376,25,37,0.624,14156.000,14156.000,1.791,0.558,0.888
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0010-0428,867,54.779,27.474,467.072,430.914,468.548,431.006,444,408,41,41,0.379,47493.000,47493.000,1.208,0.828,0.744
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0014-0445,906,73.986,44.673,656.649,446.275,656.117,447.004,637,418,37,54,0.421,67031.000,67031.000,2.783,0.359,0.784
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0015-0440,303,60.145,27.607,681.807,441.048,681.463,440.615,672,430,19,21,0.908,18224.000,18224.000,1.205,0.830,0.940
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0016-0456,1076,67.811,34.535,933.173,456.255,933.543,455.381,910,434,46,44,0.369,72965.000,72965.000,1.690,0.592,0.731
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0017-0452,462,55.279,23.733,264.238,451.327,264.149,451.690,253,437,22,30,0.779,25539.000,25539.000,1.509,0.663,0.900
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0018-0467,851,26.201,7.541,118.259,470.568,118.008,471.329,101,440,33,55,0.445,22297.000,22297.000,2.511,0.398,0.770
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0019-0462,417,48.261,14.694,536.195,462.505,536.151,462.701,523,450,27,24,0.812,20125.000,20125.000,1.623,0.616,0.920
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0020-0472,598,54.537,22.989,976.319,471.370,976.582,470.292,964,454,26,37,0.579,32613.000,32613.000,2.002,0.499,0.831
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s3h1_Merged.tif_rotated.tif:0022-0487,1538,71.015,52.925,503.571,488.517,504.423,488.346,481,457,42,60,0.427,109221.000,109221.000,1.586,0.631,0.817
