 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0001-0307,361,18.562,4.971,824.694,306.614,824.753,306.915,814,296,22,22,0.893,6701.000,6701.000,1.063,0.941,0.935
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0002-0313,565,18.129,6.242,674.227,312.319,674.831,312.271,661,299,27,28,0.886,10243.000,10243.000,1.104,0.906,0.941
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0003-0336,246,20.260,4.255,808.061,337.195,808.136,337.313,799,327,18,19,0.888,4984.000,4984.000,1.149,0.870,0.918
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0005-0376,633,17.750,6.013,1011.498,377.483,1011.522,377.688,999,359,24,34,0.823,11236.000,11236.000,1.423,0.703,0.946
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0006-0374,592,19.236,7.226,94.022,375.264,94.518,375.339,80,360,27,29,0.832,11388.000,11388.000,1.129,0.885,0.924
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0007-0379,516,27.510,13.445,436.632,379.174,435.917,379.625,423,365,28,28,0.732,14195.000,14195.000,1.198,0.835,0.884
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0008-0387,564,28.699,14.493,675.530,387.264,676.175,387.303,660,374,30,26,0.916,16186.000,16186.000,1.132,0.884,0.947
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0010-0415,327,28.621,8.710,842.503,416.142,842.419,416.473,834,403,18,25,0.878,9359.000,9359.000,1.381,0.724,0.936
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0011-0424,784,25.801,7.030,361.027,421.750,361.392,422.231,341,405,35,39,0.630,20228.000,20228.000,1.538,0.650,0.842
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0012-0421,480,40.304,14.038,437.919,419.215,438.232,420.004,424,408,30,26,0.717,19346.000,19346.000,1.317,0.759,0.845
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0013-0422,240,19.671,6.507,254.662,422.217,254.538,422.251,244,413,20,18,0.876,4721.000,4721.000,1.068,0.936,0.909
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0017-0439,315,33.422,15.298,493.957,438.770,493.769,438.967,484,428,19,22,0.904,10528.000,10528.000,1.275,0.784,0.938
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0018-0440,285,56.309,29.655,450.391,440.216,449.900,439.917,442,429,17,22,0.892,16048.000,16048.000,1.278,0.783,0.925
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0019-0442,361,49.385,31.216,426.115,441.547,427.186,440.993,415,430,20,24,0.871,17828.000,17828.000,1.251,0.800,0.944
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0020-0447,437,34.288,17.855,314.225,447.505,314.381,447.852,302,434,24,27,0.846,14984.000,14984.000,1.136,0.880,0.926
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0022-0448,623,28.085,20.786,89.038,448.635,89.295,448.517,74,435,30,26,0.858,17497.000,17497.000,1.174,0.852,0.940
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0023-0445,272,36.316,10.115,472.070,445.735,471.900,445.527,463,435,17,20,0.898,9878.000,9878.000,1.313,0.762,0.954
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0025-0461,562,49.249,26.947,945.744,460.758,945.849,460.535,930,448,29,27,0.757,27678.000,27678.000,1.100,0.909,0.897
19,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0026-0460,359,30.448,13.664,166.714,460.171,167.193,460.383,156,449,21,22,0.916,10931.000,10931.000,1.176,0.850,0.946
20,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0027-0467,414,34.802,15.600,346.715,466.783,346.756,467.185,337,452,20,30,0.823,14408.000,14408.000,1.469,0.681,0.924
21,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0029-0467,306,41.056,20.489,200.062,467.850,199.818,468.104,191,456,19,23,0.842,12563.000,12563.000,1.404,0.712,0.922
22,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0030-0472,588,32.847,6.036,996.964,473.724,997.182,473.886,982,456,31,32,0.732,19314.000,19314.000,1.254,0.797,0.886
23,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0031-0476,471,51.019,22.639,648.472,475.886,648.542,476.048,636,463,24,27,0.904,24030.000,24030.000,1.265,0.791,0.945
24,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0034-0488,268,41.970,16.055,1021.929,488.545,1022.222,488.359,1013,478,18,20,0.895,11248.000,11248.000,1.354,0.738,0.939
25,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0038-0500,489,35.800,15.650,1049.406,501.747,1049.032,501.291,1038,486,25,28,0.841,17506.000,17506.000,1.296,0.772,0.918
26,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0039-0502,501,46.028,29.975,574.057,502.396,574.111,502.119,562,488,25,28,0.885,23060.000,23060.000,1.215,0.823,0.936
27,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0040-0502,578,33.391,19.136,85.806,503.130,85.762,503.971,67,491,36,23,0.802,19300.000,19300.000,1.663,0.601,0.929
28,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0041-0509,567,42.799,15.993,831.978,509.560,831.925,509.396,818,495,28,28,0.840,24267.000,24267.000,1.271,0.787,0.929
29,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0042-0508,326,42.552,18.535,628.322,508.132,628.915,508.036,615,498,25,20,0.708,13872.000,13872.000,1.526,0.655,0.872
30,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0043-0513,377,30.263,7.923,713.381,514.908,713.160,514.969,703,500,20,27,0.782,11409.000,11409.000,1.376,0.727,0.898
31,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0044-0512,430,37.153,13.251,950.070,513.023,950.314,512.736,939,500,23,25,0.905,15976.000,15976.000,1.187,0.843,0.940
32,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0047-0512,262,43.763,16.187,660.851,512.737,660.854,512.344,650,503,22,18,0.838,11466.000,11466.000,1.242,0.805,0.914
33,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0048-0533,685,55.514,30.596,381.691,537.386,381.747,538.531,370,511,26,45,0.553,38027.000,38027.000,2.212,0.452,0.840
34,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536635_KO_P50_NR_M_s5h1_Merged.tif_rotated.tif:0050-0536,461,43.013,23.983,507.227,535.700,506.663,535.286,496,523,23,27,0.860,19829.000,19829.000,1.201,0.833,0.928
