 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0001-0217,534,16.088,5.655,571.384,218.002,571.244,218.154,555,205,30,25,0.883,8591.000,8591.000,1.272,0.786,0.939
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0002-0318,640,18.828,8.727,184.633,318.291,184.220,318.328,168,305,33,27,0.828,12050.000,12050.000,1.325,0.754,0.922
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0005-0370,688,30.842,18.493,484.827,369.609,485.532,369.820,466,351,36,38,0.645,21219.000,21219.000,2.234,0.448,0.864
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0007-0373,439,24.396,8.253,679.302,373.120,679.160,373.175,669,359,21,28,0.860,10710.000,10710.000,1.303,0.768,0.939
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0008-0380,475,26.320,10.603,67.753,379.111,67.776,379.293,56,365,23,30,0.790,12502.000,12502.000,1.511,0.662,0.926
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0009-0391,611,28.957,15.385,42.091,391.182,42.364,391.515,28,376,28,31,0.848,17693.000,17693.000,1.317,0.759,0.926
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0010-0389,328,22.942,6.648,557.750,389.845,557.583,389.872,547,377,20,24,0.874,7525.000,7525.000,1.335,0.749,0.927
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0011-0393,582,51.457,40.879,366.216,394.407,366.127,394.799,354,378,26,31,0.826,29948.000,29948.000,1.168,0.856,0.922
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0013-0412,942,35.946,17.486,278.925,414.554,278.793,414.998,259,392,38,40,0.456,33861.000,33861.000,1.589,0.629,0.818
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0014-0424,512,26.818,11.946,1026.395,423.514,1026.361,423.491,1015,409,23,31,0.875,13731.000,13731.000,1.353,0.739,0.937
