 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0002-0246,397,20.254,5.451,841.097,246.183,841.054,246.009,831,233,20,26,0.901,8041.000,8041.000,1.351,0.740,0.947
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0005-0285,433,23.739,7.222,254.886,285.844,254.893,285.633,243,273,24,25,0.866,10279.000,10279.000,1.134,0.882,0.934
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0007-0296,828,24.164,6.102,478.244,295.182,478.271,294.986,460,277,35,38,0.686,20008.000,20008.000,1.697,0.589,0.899
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0009-0320,520,32.700,14.626,427.575,320.706,427.543,320.846,415,307,27,26,0.842,17004.000,17004.000,1.086,0.920,0.931
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0012-0354,825,24.305,6.528,588.654,355.233,588.412,355.266,575,329,25,50,0.599,20052.000,20052.000,2.300,0.435,0.880
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0013-0344,361,22.607,6.034,383.683,344.600,383.839,344.707,373,332,21,25,0.859,8161.000,8161.000,1.165,0.858,0.917
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0014-0349,341,36.082,17.415,789.746,349.450,790.329,349.034,778,338,23,23,0.786,12304.000,12304.000,1.482,0.675,0.906
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0015-0360,668,31.024,8.636,1174.184,361.079,1174.320,361.381,1162,341,25,39,0.794,20724.000,20724.000,1.573,0.636,0.928
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0016-0359,621,34.937,18.380,819.442,358.136,818.908,358.193,807,342,27,34,0.843,21696.000,21696.000,1.443,0.693,0.939
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0017-0377,428,27.290,9.906,981.336,378.456,981.203,378.649,970,363,24,28,0.829,11680.000,11680.000,1.183,0.845,0.928
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0019-0395,860,37.666,16.000,184.391,393.822,185.087,394.468,162,380,43,31,0.604,32393.000,32393.000,2.053,0.487,0.871
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0020-0400,475,48.682,30.511,371.757,402.129,371.866,402.403,360,385,23,31,0.801,23124.000,23124.000,1.299,0.770,0.906
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0021-0402,793,32.159,12.175,919.582,401.185,920.526,400.968,898,388,45,28,0.531,25502.000,25502.000,2.172,0.460,0.856
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0023-0414,940,34.830,14.492,1059.017,416.281,1058.787,417.026,1037,389,41,50,0.371,32740.000,32740.000,2.579,0.388,0.792
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0024-0400,384,24.451,6.867,813.708,400.216,813.846,399.967,802,390,24,21,0.935,9389.000,9389.000,1.192,0.839,0.950
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0025-0411,501,30.174,10.325,731.027,411.121,730.879,411.264,718,396,24,30,0.818,15117.000,15117.000,1.401,0.714,0.918
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0026-0409,405,23.894,5.221,1131.663,409.883,1131.552,409.930,1121,397,22,25,0.840,9677.000,9677.000,1.298,0.770,0.919
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0029-0419,236,46.165,18.759,228.089,419.487,228.377,420.171,220,410,17,19,0.940,10895.000,10895.000,1.231,0.812,0.935
19,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0030-0426,480,54.115,30.222,338.427,427.106,338.093,426.968,326,411,22,31,0.803,25975.000,25975.000,1.676,0.597,0.918
20,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0032-0427,239,27.824,8.323,478.111,427.843,478.303,428.046,470,418,16,19,0.940,6650.000,6650.000,1.190,0.840,0.939
21,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0033-0433,430,34.179,14.251,50.895,432.409,50.637,432.492,40,420,23,26,0.886,14697.000,14697.000,1.218,0.821,0.941
22,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0034-0437,619,35.612,19.830,772.523,437.455,772.198,437.886,759,420,26,34,0.816,22044.000,22044.000,1.410,0.709,0.926
23,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0036-0434,325,35.028,13.563,627.122,434.497,627.353,434.628,616,424,21,21,0.909,11384.000,11384.000,1.201,0.833,0.935
24,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0039-0445,428,34.724,17.920,287.138,444.535,287.395,443.921,277,431,21,28,0.896,14862.000,14862.000,1.392,0.719,0.942
25,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0042-0465,1641,49.390,19.624,206.900,464.950,207.746,464.525,177,437,61,57,0.251,81049.000,81049.000,1.422,0.703,0.669
26,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0043-0455,389,31.915,13.112,547.112,456.302,547.128,456.207,536,441,21,29,0.753,12415.000,12415.000,1.408,0.710,0.894
27,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0044-0454,402,31.547,13.121,701.918,455.348,701.935,455.261,691,442,22,25,0.906,12682.000,12682.000,1.156,0.865,0.937
28,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0045-0453,292,28.654,9.791,1186.688,453.366,1186.804,453.392,1177,443,19,20,0.949,8367.000,8367.000,1.160,0.862,0.947
29,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0046-0455,336,28.265,6.585,616.357,455.548,616.403,455.290,606,445,22,20,0.908,9497.000,9497.000,1.245,0.803,0.941
30,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0047-0466,729,35.379,13.724,837.197,465.777,837.383,465.330,822,449,33,34,0.699,25791.000,25791.000,1.525,0.656,0.883
31,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0048-0475,906,33.234,17.201,398.443,475.543,398.223,475.645,381,452,34,46,0.428,30110.000,30110.000,1.827,0.547,0.784
32,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0050-0465,404,30.228,13.880,664.938,465.800,664.716,465.782,654,453,23,25,0.877,12212.000,12212.000,1.112,0.899,0.928
33,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0051-0475,475,33.164,15.222,987.052,475.161,984.942,476.748,972,459,32,32,0.565,15753.000,15753.000,2.589,0.386,0.818
34,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0052-0477,363,28.355,9.342,574.106,477.883,574.049,477.957,561,466,24,22,0.831,10293.000,10293.000,1.101,0.909,0.914
35,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0053-0482,527,45.774,18.749,950.498,482.158,950.431,482.214,937,469,26,26,0.924,24123.000,24123.000,1.100,0.909,0.952
36,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0055-0489,542,34.557,22.027,1063.740,489.240,1063.154,488.996,1051,475,26,28,0.878,18730.000,18730.000,1.071,0.934,0.936
37,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0056-0494,435,36.228,10.928,922.408,495.095,922.780,495.092,910,481,25,27,0.784,15759.000,15759.000,1.456,0.687,0.915
38,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0057-0504,583,32.062,18.025,691.613,504.322,692.405,503.883,678,491,28,27,0.886,18692.000,18692.000,1.070,0.935,0.942
39,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0058-0510,332,24.943,10.848,40.696,510.042,40.649,509.995,31,499,20,22,0.929,8281.000,8281.000,1.194,0.837,0.942
40,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0061-0518,344,27.544,9.112,180.189,518.279,180.417,518.263,168,509,24,19,0.892,9475.000,9475.000,1.270,0.787,0.939
41,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0062-0527,383,28.144,11.289,910.390,527.153,910.542,526.840,901,514,21,26,0.877,10779.000,10779.000,1.191,0.839,0.934
42,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0066-0547,612,29.266,14.292,773.377,543.959,773.205,543.266,762,527,26,40,0.634,17911.000,17911.000,1.675,0.597,0.859
43,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0067-0552,738,31.398,17.600,624.893,551.804,625.182,552.170,609,537,34,30,0.809,23172.000,23172.000,1.164,0.859,0.934
44,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0068-0547,359,31.390,11.726,333.731,547.765,333.633,547.741,321,538,25,19,0.925,11269.000,11269.000,1.287,0.777,0.950
45,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0069-0558,756,33.119,21.955,493.690,558.065,492.945,558.140,477,542,33,33,0.833,25038.000,25038.000,1.121,0.892,0.923
46,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0070-0565,540,33.596,20.939,143.389,566.020,142.851,565.672,130,552,28,27,0.905,18142.000,18142.000,1.013,0.987,0.939
47,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0071-0575,609,47.317,31.382,1009.830,575.707,1009.374,575.830,995,560,29,31,0.873,28816.000,28816.000,1.400,0.714,0.941
48,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0072-0575,291,23.323,7.026,444.239,575.665,444.413,575.745,434,566,21,19,0.938,6787.000,6787.000,1.199,0.834,0.940
49,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0074-0587,712,25.930,20.177,50.532,586.211,51.933,583.989,37,569,28,36,0.816,18462.000,18462.000,1.288,0.777,0.925
50,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0075-0605,793,35.439,18.738,181.107,605.228,180.971,605.175,160,590,39,31,0.801,28103.000,28103.000,1.339,0.747,0.919
51,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0077-0613,530,39.721,26.717,693.757,614.198,694.474,613.885,680,601,29,25,0.882,21052.000,21052.000,1.162,0.860,0.940
52,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0078-0613,367,17.837,10.004,81.446,613.271,81.919,612.196,69,602,23,22,0.814,6546.000,6546.000,1.118,0.894,0.916
53,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0079-0620,452,29.642,13.712,571.420,619.993,571.333,620.004,557,608,26,24,0.873,13398.000,13398.000,1.232,0.812,0.945
54,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0081-0635,588,48.155,32.689,858.111,634.226,857.555,634.216,844,619,27,32,0.853,28315.000,28315.000,1.117,0.895,0.930
55,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0082-0631,417,22.312,8.027,395.649,630.888,395.788,630.707,382,620,26,23,0.859,9304.000,9304.000,1.179,0.848,0.919
56,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0083-0654,501,20.136,7.777,689.873,653.751,689.165,653.468,676,641,28,27,0.863,10088.000,10088.000,1.059,0.944,0.927
57,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0085-0668,348,23.753,7.969,1094.103,668.224,1094.128,668.265,1083,657,21,23,0.927,8266.000,8266.000,1.076,0.929,0.941
58,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0086-0678,653,27.282,8.881,1147.979,678.946,1147.725,678.716,1132,663,34,30,0.804,17815.000,17815.000,1.598,0.626,0.926
59,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0087-0680,637,16.887,6.860,172.732,680.721,172.616,680.443,158,666,30,28,0.824,10757.000,10757.000,1.103,0.907,0.935
60,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0089-0687,413,19.295,8.439,258.849,686.127,258.843,685.517,247,675,24,24,0.897,7969.000,7969.000,1.193,0.838,0.929
61,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0090-0692,654,26.251,13.062,316.271,692.826,316.156,692.923,302,675,29,34,0.760,17168.000,17168.000,1.456,0.687,0.908
62,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0091-0698,586,18.660,9.253,872.882,699.966,872.866,699.144,859,682,27,33,0.805,10935.000,10935.000,1.150,0.870,0.901
63,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s2h1_Merged.tif_rotated.tif:0092-0757,812,23.661,30.741,1116.027,757.050,1115.271,756.788,1098,742,38,31,0.736,19213.000,19213.000,1.226,0.815,0.903
