 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0001-0284,351,15.954,4.293,663.489,284.671,663.486,284.713,653,273,21,22,0.881,5600.000,5600.000,1.121,0.892,0.935
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0002-0340,675,18.120,7.497,656.213,339.758,656.589,340.191,642,324,31,32,0.774,12231.000,12231.000,1.120,0.893,0.916
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0004-0369,414,17.529,5.103,638.901,369.824,639.168,369.796,627,357,24,25,0.893,7257.000,7257.000,1.069,0.935,0.931
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0005-0392,383,18.833,6.895,980.218,392.226,980.218,392.314,969,381,22,23,0.897,7213.000,7213.000,1.225,0.816,0.940
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0006-0401,529,27.386,14.561,193.194,399.307,192.860,400.028,182,383,23,36,0.758,14487.000,14487.000,1.537,0.651,0.911
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0008-0411,885,32.612,16.675,575.511,412.596,575.598,413.548,560,390,31,43,0.740,28862.000,28862.000,1.466,0.682,0.912
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0009-0418,1027,41.187,25.980,510.779,418.057,512.501,420.139,489,394,44,48,0.515,42299.000,42299.000,2.311,0.433,0.848
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0010-0413,449,22.000,8.139,159.217,412.460,159.609,412.960,148,399,22,28,0.880,9878.000,9878.000,1.320,0.757,0.938
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0011-0411,414,28.290,11.114,854.800,410.669,854.901,410.805,844,399,22,24,0.954,11712.000,11712.000,1.147,0.872,0.955
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0012-0427,696,33.295,21.610,706.675,428.279,706.280,429.074,693,410,27,35,0.809,23173.000,23173.000,1.274,0.785,0.922
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0014-0434,561,44.365,27.381,374.586,433.149,373.569,435.261,360,417,29,34,0.566,24889.000,24889.000,2.005,0.499,0.822
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0016-0451,679,31.186,23.845,239.241,450.510,239.722,451.075,224,436,31,31,0.782,21175.000,21175.000,1.104,0.906,0.902
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0017-0447,399,33.291,11.292,617.573,447.254,617.040,447.604,606,436,24,22,0.905,13283.000,13283.000,1.095,0.913,0.939
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0020-0460,439,44.146,19.370,323.354,461.787,323.511,462.375,312,445,21,31,0.765,19380.000,19380.000,1.616,0.619,0.888
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0021-0464,505,46.778,33.350,113.856,465.138,114.409,465.078,103,448,22,32,0.813,23623.000,23623.000,1.429,0.700,0.935
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0022-0466,422,28.306,11.747,162.936,466.220,163.178,466.156,152,454,22,24,0.914,11945.000,11945.000,1.085,0.922,0.944
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0023-0467,486,66.488,46.446,588.856,466.568,588.653,467.062,577,454,24,27,0.906,32313.000,32313.000,1.074,0.931,0.945
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0024-0470,537,60.175,39.600,509.846,471.023,508.897,471.111,496,456,28,28,0.669,32314.000,32314.000,1.090,0.917,0.874
19,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0026-0475,397,47.013,22.209,867.077,474.064,867.381,474.413,856,462,22,27,0.870,18664.000,18664.000,1.422,0.703,0.934
20,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0027-0481,295,43.719,34.087,566.825,481.297,568.330,480.781,557,471,19,20,0.941,12897.000,12897.000,1.093,0.915,0.939
21,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0028-0487,579,45.971,20.275,1079.049,487.552,1078.422,488.149,1062,472,31,30,0.649,26617.000,26617.000,1.576,0.635,0.891
