 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0001-0213,748,17.893,9.618,137.400,211.561,137.532,211.631,124,194,27,39,0.829,13384.000,13384.000,1.377,0.726,0.939
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0002-0273,578,22.415,6.252,268.834,273.412,268.768,273.685,252,259,30,28,0.706,12956.000,12956.000,1.140,0.877,0.881
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0003-0296,567,25.933,9.480,881.310,295.262,881.430,295.223,865,281,29,30,0.838,14704.000,14704.000,1.248,0.801,0.923
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0004-0302,403,24.866,5.746,406.202,302.210,406.216,302.540,394,289,24,26,0.838,10021.000,10021.000,1.208,0.828,0.910
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0005-0318,313,31.035,7.069,363.369,319.778,363.455,320.036,351,308,25,20,0.733,9714.000,9714.000,1.454,0.688,0.869
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0006-0329,578,30.751,8.683,526.375,330.154,526.401,330.460,514,312,25,34,0.822,17774.000,17774.000,1.636,0.611,0.943
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0007-0326,534,24.858,7.269,1042.751,325.981,1042.902,326.222,1029,313,30,26,0.833,13274.000,13274.000,1.188,0.842,0.934
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0008-0322,103,20.388,5.823,138.617,321.675,139.048,321.769,133,316,11,12,0.923,2100.000,2100.000,1.179,0.848,0.916
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0009-0357,996,50.623,20.239,370.578,356.546,370.765,357.016,352,335,36,45,0.574,50421.000,50421.000,1.797,0.557,0.849
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0012-0365,700,42.193,20.435,638.603,366.397,638.747,367.007,627,347,27,36,0.796,29535.000,29535.000,1.318,0.759,0.936
11,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0013-0366,513,28.653,10.222,745.785,367.586,745.331,368.370,733,350,26,33,0.721,14699.000,14699.000,1.838,0.544,0.884
12,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0015-0405,1168,39.354,16.131,941.593,409.231,943.296,408.067,912,383,57,44,0.348,45966.000,45966.000,2.207,0.453,0.666
13,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0017-0400,506,37.913,10.760,379.387,400.223,379.308,400.070,367,386,24,29,0.826,19184.000,19184.000,1.215,0.823,0.928
14,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0018-0408,547,51.583,19.582,1169.456,409.690,1169.497,409.808,1155,391,25,34,0.712,28216.000,28216.000,1.408,0.710,0.877
15,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0020-0423,1398,50.188,19.206,585.799,424.406,586.193,425.007,562,400,53,46,0.278,70163.000,70163.000,1.362,0.734,0.725
16,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0022-0428,521,45.013,19.920,452.659,429.607,452.887,429.288,440,415,26,26,0.877,23452.000,23452.000,1.089,0.919,0.942
17,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0023-0439,504,27.784,9.451,42.006,437.393,42.116,437.233,29,424,24,30,0.801,14003.000,14003.000,1.400,0.714,0.911
18,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0024-0441,505,63.206,29.968,394.888,441.512,394.578,442.037,383,425,25,32,0.774,31919.000,31919.000,1.724,0.580,0.927
19,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0026-0448,668,61.638,24.469,1010.304,448.841,1009.855,448.747,997,430,25,36,0.802,41174.000,41174.000,1.545,0.647,0.934
20,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0027-0443,264,45.553,13.905,512.504,444.519,513.175,444.599,504,433,17,21,0.849,12026.000,12026.000,1.308,0.764,0.928
21,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0028-0449,504,62.988,29.005,534.323,448.821,534.167,448.175,524,434,21,30,0.837,31746.000,31746.000,1.567,0.638,0.943
22,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s4h1_Merged.tif_rotated.tif:0030-0450,373,55.820,20.568,374.591,450.302,375.183,449.876,364,439,22,22,0.945,20821.000,20821.000,1.031,0.970,0.947
