 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0001-0284,285,14.835,4.617,439.861,285.005,439.6,285.29,432,274,17,21,0.933,4228.0,4228.0,1.251,0.8,0.948
2,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0002-0290,453,15.066,4.499,891.12,290.034,891.256,290.174,877,278,27,25,0.864,6825.0,6825.0,1.269,0.788,0.932
3,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0003-0300,613,15.215,4.715,761.277,299.639,761.491,299.952,747,285,30,30,0.842,9327.0,9327.0,1.067,0.937,0.917
4,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0004-0309,784,14.13,7.293,266.708,309.092,267.048,309.655,250,293,34,32,0.893,11078.0,11078.0,1.088,0.919,0.947
5,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0005-0327,674,18.01,10.702,583.349,327.797,584.268,327.855,569,311,27,33,0.783,12139.0,12139.0,1.268,0.789,0.92
6,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0009-0369,619,16.964,7.235,564.741,368.032,565.171,368.34,550,354,29,30,0.793,10501.0,10501.0,1.131,0.885,0.914
7,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0011-0398,1156,24.207,9.097,894.817,398.262,894.689,398.29,879,365,34,66,0.28,27983.0,27983.0,2.591,0.386,0.692
8,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0012-0402,1186,36.02,29.076,293.863,405.302,290.125,410.104,272,372,46,61,0.376,42720.0,42720.0,2.284,0.438,0.732
9,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0013-0387,395,21.367,9.35,245.143,389.465,245.177,390.779,235,374,22,27,0.758,8440.0,8440.0,1.309,0.764,0.895
10,C2-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0387_KO_P49_NR_F_s2h1_Merged.tif_rotated.tif:0014-0393,561,26.594,10.413,804.728,394.55,804.697,394.479,791,377,25,32,0.798,14919.0,14919.0,1.264,0.791,0.927
