 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0001-0275,599,62.048,49.512,288.874,277.116,291.134,277.513,270,261,36,29,0.622,37167.000,37167.000,1.602,0.624,0.862
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0005-0336,432,37.845,33.768,642.319,338.201,642.807,337.819,632,323,22,27,0.806,16349.000,16349.000,1.224,0.817,0.925
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0006-0376,920,24.976,14.733,883.105,377.084,885.113,375.845,865,351,38,51,0.509,22978.000,22978.000,1.895,0.528,0.803
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0007-0375,497,44.626,40.891,664.140,375.327,664.187,374.032,651,362,26,27,0.845,22179.000,22179.000,1.111,0.900,0.923
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0008-0379,643,27.300,17.500,21.278,378.923,20.658,378.557,7,364,29,31,0.877,17554.000,17554.000,1.062,0.942,0.940
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0010-0383,457,43.004,42.736,1122.526,382.638,1123.579,382.555,1110,370,25,27,0.842,19653.000,19653.000,1.230,0.813,0.920
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0013-0391,528,41.127,34.228,770.487,394.025,770.357,393.173,758,375,25,32,0.715,21715.000,21715.000,1.282,0.780,0.905
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0016-0410,366,32.612,26.502,952.773,410.549,953.011,410.602,942,398,22,24,0.857,11936.000,11936.000,1.480,0.676,0.934
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0017-0410,397,40.091,36.127,443.664,409.702,444.364,409.714,431,399,26,22,0.801,15916.000,15916.000,1.399,0.715,0.901
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0021-0425,474,41.500,38.747,331.806,425.508,331.659,425.507,317,413,27,24,0.722,19671.000,19671.000,1.256,0.796,0.901
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0022-0438,468,36.915,33.981,673.468,438.261,673.033,436.308,663,422,21,32,0.816,17276.000,17276.000,1.638,0.611,0.935
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0024-0436,485,26.264,12.863,401.504,437.191,401.961,437.309,383,425,32,23,0.724,12738.000,12738.000,1.411,0.709,0.887
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0025-0436,260,49.562,35.251,192.854,437.227,193.620,436.086,183,426,18,20,0.868,12886.000,12886.000,1.290,0.775,0.932
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0030-0450,449,39.808,35.308,1182.625,450.121,1183.043,449.824,1171,437,23,26,0.939,17874.000,17874.000,1.153,0.867,0.951
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0032-0449,263,23.787,8.413,847.295,448.572,847.142,448.754,836,441,21,16,0.861,6256.000,6256.000,1.294,0.773,0.929
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0034-0459,366,31.464,20.910,583.885,458.596,584.231,457.245,573,447,22,24,0.871,11516.000,11516.000,1.359,0.736,0.931
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0035-0459,507,40.387,33.807,793.202,459.155,793.785,459.006,778,448,30,22,0.889,20476.000,20476.000,1.376,0.727,0.949
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0036-0460,289,28.090,15.741,834.407,461.310,835.026,460.152,825,449,20,22,0.823,8118.000,8118.000,1.309,0.764,0.888
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0037-0462,437,27.073,18.999,638.111,462.635,638.017,462.125,625,450,24,25,0.849,11831.000,11831.000,1.067,0.938,0.922
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0039-0466,489,38.877,29.592,357.316,466.140,357.581,464.633,345,453,25,27,0.933,19011.000,19011.000,1.151,0.869,0.948
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0040-0469,501,30.419,15.192,930.576,469.045,930.343,469.355,919,455,23,28,0.843,15240.000,15240.000,1.377,0.726,0.928
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0042-0472,668,21.864,7.935,966.337,472.034,964.133,471.168,945,458,42,29,0.483,14605.000,14605.000,2.470,0.405,0.761
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0043-0467,272,62.956,44.379,1055.949,467.254,1056.354,468.556,1046,458,20,18,0.908,17124.000,17124.000,1.191,0.840,0.933
24,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0047-0478,284,26.173,11.523,900.489,478.387,900.458,478.488,890,468,21,20,0.892,7433.000,7433.000,1.341,0.745,0.924
25,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0048-0483,458,27.965,22.948,683.275,483.362,683.480,483.622,670,471,27,25,0.887,12808.000,12808.000,1.087,0.920,0.934
26,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536631_KO_P50_NR_M_s1h1_Merged.tif_rotated.tif:0049-0485,278,32.504,22.220,1050.615,485.622,1050.228,484.048,1040,475,21,21,0.835,9036.000,9036.000,1.616,0.619,0.921
