 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0001-0319,694,26.174,27.177,447.696,320.352,448.281,322.525,435,300,28,38,0.778,18165.000,18165.000,1.697,0.589,0.913
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0003-0348,395,17.349,6.830,1004.176,347.778,1003.885,347.898,994,336,21,24,0.946,6853.000,6853.000,1.125,0.889,0.953
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0005-0376,692,20.409,9.775,370.354,376.389,370.189,376.257,358,355,25,42,0.676,14123.000,14123.000,1.863,0.537,0.887
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0007-0374,655,28.203,26.211,27.981,375.360,27.474,375.301,13,357,30,34,0.785,18473.000,18473.000,1.284,0.779,0.923
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0008-0383,596,25.715,14.222,101.493,385.812,101.714,386.635,89,365,25,36,0.733,15326.000,15326.000,1.452,0.689,0.901
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0009-0389,359,31.418,28.238,682.221,388.993,681.362,388.732,672,377,20,24,0.910,11279.000,11279.000,1.171,0.854,0.942
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0010-0393,449,16.606,6.209,954.337,393.507,954.252,393.517,943,379,21,29,0.837,7456.000,7456.000,1.443,0.693,0.933
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0012-0402,437,27.048,22.947,611.493,401.793,611.551,403.170,601,388,22,28,0.882,11820.000,11820.000,1.331,0.751,0.931
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0013-0404,367,43.256,40.217,912.966,404.225,911.979,402.894,903,391,20,26,0.846,15875.000,15875.000,1.406,0.711,0.926
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0014-0409,617,31.199,30.694,1099.771,409.532,1099.153,410.915,1087,391,25,36,0.789,19250.000,19250.000,1.791,0.558,0.931
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0015-0411,512,23.836,22.022,491.463,413.250,492.285,413.825,480,395,23,33,0.723,12204.000,12204.000,1.618,0.618,0.881
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0016-0416,409,23.557,16.423,976.757,417.326,975.935,417.756,963,405,26,23,0.808,9635.000,9635.000,1.407,0.711,0.911
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0017-0427,844,18.379,8.762,639.166,423.254,639.306,422.392,621,407,43,41,0.455,15512.000,15512.000,1.441,0.694,0.721
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0018-0444,1346,18.918,10.163,314.015,443.337,315.266,444.437,293,422,43,45,0.378,25464.000,25464.000,1.047,0.955,0.759
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0019-0439,724,26.570,13.703,236.675,439.398,237.091,439.407,218,425,35,28,0.814,19237.000,19237.000,1.402,0.713,0.925
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0020-0452,578,25.808,13.717,28.711,453.145,28.693,453.436,17,435,26,35,0.762,14917.000,14917.000,1.296,0.772,0.884
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0021-0460,497,19.469,9.806,1091.641,461.597,1091.913,462.464,1081,444,20,33,0.774,9676.000,9676.000,1.636,0.611,0.925
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0022-0471,1260,23.775,17.201,441.073,473.663,441.337,473.989,412,445,50,52,0.341,29957.000,29957.000,1.886,0.530,0.736
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0023-0455,298,25.674,19.367,1112.933,455.597,1112.794,455.713,1103,445,20,20,0.926,7651.000,7651.000,1.218,0.821,0.939
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0024-0475,405,34.469,28.893,798.273,474.404,798.776,474.624,789,460,19,31,0.794,13960.000,13960.000,1.761,0.568,0.907
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0025-0488,747,37.060,39.432,369.974,488.025,370.457,487.326,356,465,26,47,0.541,27684.000,27684.000,2.255,0.444,0.844
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0027-0478,272,29.140,22.892,825.735,479.279,823.908,479.853,816,468,19,21,0.839,7926.000,7926.000,1.465,0.683,0.919
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_536634_KO_P50_MD_F_s2h1_Merged.tif_rotated.tif:0028-0484,488,32.588,28.295,283.266,484.076,283.338,484.148,271,471,26,27,0.828,15903.000,15903.000,1.485,0.673,0.930
