 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0001-0217,534,46.313,43.564,571.384,218.002,571.022,218.948,555,205,30,25,0.883,24731.000,24731.000,1.272,0.786,0.939
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0002-0318,640,44.372,30.775,184.633,318.291,183.494,317.962,168,305,33,27,0.828,28398.000,28398.000,1.325,0.754,0.922
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0005-0370,688,63.028,44.189,484.827,369.609,483.628,371.115,466,351,36,38,0.645,43363.000,43363.000,2.234,0.448,0.864
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0007-0373,439,64.945,48.468,679.302,373.120,679.435,373.752,669,359,21,28,0.860,28511.000,28511.000,1.303,0.768,0.939
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0008-0380,475,50.703,26.933,67.753,379.111,67.862,378.966,56,365,23,30,0.790,24084.000,24084.000,1.511,0.662,0.926
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0009-0391,611,48.198,29.776,42.091,391.182,42.530,391.271,28,376,28,31,0.848,29449.000,29449.000,1.317,0.759,0.926
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0010-0389,328,66.966,41.223,557.750,389.845,557.302,389.187,547,377,20,24,0.874,21965.000,21965.000,1.335,0.749,0.927
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0011-0393,582,50.572,29.055,366.216,394.407,366.216,394.956,354,378,26,31,0.826,29433.000,29433.000,1.168,0.856,0.922
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0013-0412,942,52.450,29.258,278.925,414.554,278.988,413.746,259,392,38,40,0.456,49408.000,49408.000,1.589,0.629,0.818
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0014-0424,512,60.188,45.100,1026.395,423.514,1026.631,423.016,1015,409,23,31,0.875,30816.000,30816.000,1.353,0.739,0.937
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0015-0438,615,64.172,41.831,649.539,440.832,649.356,441.719,636,420,29,36,0.596,39466.000,39466.000,1.680,0.595,0.830
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0016-0438,478,49.192,26.090,497.864,438.253,497.807,438.448,483,426,28,25,0.806,23514.000,23514.000,1.531,0.653,0.916
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0017-0445,375,73.763,55.638,1064.879,444.900,1064.556,444.109,1054,434,22,23,0.864,27661.000,27661.000,1.123,0.890,0.925
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543331_WT_P50_MD_M_s5h1_Merged.tif_rotated.tif:0019-0447,298,41.701,19.793,534.795,448.466,534.808,448.972,526,436,18,23,0.902,12427.000,12427.000,1.308,0.765,0.933
