 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0001-0342,379,55.195,50.459,692.629,341.724,693.213,342.666,682,330,21,24,0.938,20919.000,20919.000,1.194,0.838,0.948
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0002-0343,418,35.677,16.403,192.715,343.806,192.859,344.022,182,331,21,25,0.948,14913.000,14913.000,1.161,0.861,0.958
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0003-0348,572,44.128,45.676,222.278,348.294,222.946,348.018,209,334,28,29,0.754,25241.000,25241.000,1.129,0.886,0.900
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0005-0375,1080,43.052,36.950,584.354,376.035,584.345,376.397,567,348,34,55,0.483,46496.000,46496.000,1.799,0.556,0.821
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0006-0390,872,34.440,17.348,519.143,385.729,519.460,385.461,504,364,30,52,0.520,30032.000,30032.000,1.763,0.567,0.797
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0008-0414,630,41.233,24.356,616.452,415.019,616.641,414.604,603,397,27,34,0.845,25977.000,25977.000,1.246,0.803,0.926
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0009-0410,304,44.362,38.829,182.382,410.000,181.723,410.431,172,400,21,20,0.904,13486.000,13486.000,1.106,0.905,0.925
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0011-0425,569,56.540,50.448,1034.642,425.495,1034.662,426.207,1022,409,26,32,0.778,32171.000,32171.000,1.378,0.726,0.900
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0012-0426,491,44.544,33.547,551.484,426.280,551.178,424.855,539,410,25,32,0.748,21871.000,21871.000,1.614,0.619,0.874
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0013-0429,475,55.571,42.913,298.306,429.064,298.634,428.807,287,415,24,29,0.828,26396.000,26396.000,1.284,0.779,0.919
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0014-0428,309,73.770,54.578,937.772,427.914,936.768,428.537,930,416,17,24,0.871,22795.000,22795.000,1.482,0.675,0.934
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0015-0435,993,45.827,37.035,31.416,434.401,33.203,433.618,11,418,42,35,0.506,45506.000,45506.000,1.287,0.777,0.876
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0017-0437,484,38.308,27.786,145.622,437.884,145.706,438.970,135,421,21,33,0.723,18541.000,18541.000,1.611,0.621,0.908
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0020-0437,565,52.759,39.496,72.328,437.445,70.245,437.167,56,425,33,25,0.521,29809.000,29809.000,1.478,0.676,0.844
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0021-0440,362,30.343,15.191,200.782,440.293,200.707,440.056,191,428,20,24,0.933,10984.000,10984.000,1.214,0.824,0.943
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543332_WT_P50_MD_F_s3h1_Merged.tif_rotated.tif:0022-0443,558,45.762,30.720,739.346,442.801,739.389,442.591,727,428,25,30,0.871,25535.000,25535.000,1.277,0.783,0.939
