 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0001-0316,333,63.492,45.478,493.113,316.197,493.063,315.823,483,306,20,21,0.894,21143.000,21143.000,1.050,0.952,0.933
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0003-0374,646,56.466,44.435,209.611,376.269,209.176,376.327,197,355,24,38,0.726,36477.000,36477.000,1.651,0.606,0.914
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0005-0397,515,45.128,21.941,364.807,397.550,364.388,397.694,353,382,23,31,0.868,23241.000,23241.000,1.393,0.718,0.935
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0009-0431,462,71.370,54.008,482.729,432.035,482.635,432.247,468,419,28,25,0.796,32973.000,32973.000,1.180,0.847,0.908
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0010-0460,297,77.623,55.582,780.678,460.884,781.282,460.252,769,452,24,17,0.797,23054.000,23054.000,1.491,0.671,0.893
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0011-0471,511,71.360,55.611,144.426,471.044,144.889,472.058,135,453,21,37,0.680,36465.000,36465.000,1.921,0.521,0.871
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0013-0478,988,48.959,35.454,513.987,481.323,512.680,480.170,491,454,44,48,0.380,48371.000,48371.000,1.948,0.513,0.733
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0015-0467,365,63.838,48.581,686.590,466.774,687.476,466.371,671,459,29,17,0.828,23301.000,23301.000,1.704,0.587,0.938
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0020-0493,373,59.614,46.428,164.521,493.696,163.811,493.259,155,480,19,27,0.828,22236.000,22236.000,1.550,0.645,0.929
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_543334_WT_P50_NR_M_s5h1_Merged.tif_rotated.tif:0021-0508,518,62.707,45.018,712.610,510.863,713.076,511.071,700,491,24,35,0.707,32482.000,32482.000,1.454,0.688,0.857
