 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0003-0340,362,39.199,29.993,314.224,340.831,314.196,341.762,302,329,23,23,0.890,14190,14190,1.082,0.924,0.926
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0004-0355,899,27.742,18.994,568.943,352.220,568.668,353.039,554,329,28,52,0.619,24940,24940,1.873,0.534,0.865
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0005-0350,404,34.238,16.385,380.131,350.975,380.523,350.250,369,339,23,23,0.902,13832,13832,1.163,0.860,0.943
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0006-0359,492,22.801,10.737,642.831,359.941,642.698,360.402,630,345,26,29,0.750,11218,11218,1.478,0.677,0.888
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0009-0378,463,30.812,18.006,302.537,377.189,302.971,377.652,292,364,22,28,0.894,14266,14266,1.250,0.800,0.948
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0011-0392,598,21.269,12.629,940.306,391.343,940.239,390.561,926,378,29,28,0.770,12719,12719,1.104,0.906,0.910
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0012-0400,743,23.320,14.607,830.978,402.067,829.811,401.591,816,383,32,35,0.760,17327,17327,1.395,0.717,0.932
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0014-0405,799,28.526,23.933,263.132,402.390,263.818,400.125,249,385,31,41,0.606,22792,22792,1.730,0.578,0.860
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0017-0415,495,23.444,14.962,1182.062,415.662,1182.212,415.756,1169,401,25,29,0.882,11605,11605,1.167,0.857,0.933
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0018-0424,655,26.527,17.321,913.021,423.153,912.605,423.348,900,406,26,36,0.746,17375,17375,1.482,0.675,0.910
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0020-0427,568,41.908,34.800,20.195,426.255,19.266,426.118,9,410,22,34,0.842,23804,23804,1.669,0.599,0.948
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0022-0431,546,38.551,28.448,350.123,431.002,350.403,430.144,338,416,25,30,0.879,21049,21049,1.261,0.793,0.937
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0024-0427,168,36.804,24.872,816.185,426.625,816.294,425.118,809,419,14,16,0.928,6183,6183,1.136,0.880,0.926
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0025-0442,569,34.431,27.242,384.479,442.150,384.244,439.471,371,427,26,30,0.839,19591,19591,1.447,0.691,0.921
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0026-0446,610,29.739,17.443,181.997,446.177,181.708,445.806,167,432,29,29,0.895,18141,18141,1.141,0.877,0.943
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0032-0465,600,36.712,30.254,550.020,465.233,550.631,465.380,530,452,36,26,0.735,22027,22027,1.491,0.671,0.906
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0372_WT_P49_NR_F_s1h1_Merged.tif_rotated.tif:0035-0467,417,30.007,18.805,710.299,467.342,710.473,467.045,697,456,25,23,0.873,12513,12513,1.088,0.919,0.932
