 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0001-0284,351,62.242,45.044,663.489,284.671,663.805,285.596,653,273,21,22,0.881,21847,21847,1.121,0.892,0.935
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0002-0340,675,39.551,20.601,656.213,339.758,656.422,340.084,642,324,31,32,0.774,26697,26697,1.120,0.893,0.916
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0004-0369,414,38.831,16.060,638.901,369.824,638.896,369.465,627,357,24,25,0.893,16076,16076,1.069,0.935,0.931
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0005-0392,383,48.029,34.040,980.218,392.226,980.095,392.016,969,381,22,23,0.897,18395,18395,1.225,0.816,0.940
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0006-0401,529,58.820,36.780,193.194,399.307,193.362,399.298,182,383,23,36,0.758,31116,31116,1.537,0.651,0.911
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0008-0411,885,49.945,30.281,575.511,412.596,575.610,413.274,560,390,31,43,0.740,44201,44201,1.466,0.682,0.912
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0009-0418,1027,56.272,35.627,510.779,418.057,509.156,416.485,489,394,44,48,0.515,57791,57791,2.311,0.433,0.848
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0010-0413,449,52.465,25.121,159.217,412.460,159.305,412.720,148,399,22,28,0.880,23557,23557,1.320,0.757,0.938
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0011-0411,414,53.609,32.998,854.800,410.669,854.642,410.372,844,399,22,24,0.954,22194,22194,1.147,0.872,0.955
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0012-0427,696,44.769,18.061,706.675,428.279,706.494,428.664,693,410,27,35,0.809,31159,31159,1.274,0.785,0.922
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0014-0434,561,53.602,26.398,374.586,433.149,374.715,432.800,360,417,29,34,0.566,30071,30071,2.005,0.499,0.822
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0016-0451,679,47.685,24.329,239.241,450.510,239.287,450.857,224,436,31,31,0.782,32378,32378,1.104,0.906,0.902
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0017-0447,399,50.972,31.195,617.573,447.254,616.360,447.170,606,436,24,22,0.905,20338,20338,1.095,0.913,0.939
14,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0020-0460,439,50.893,25.131,323.354,461.787,323.514,462.788,312,445,21,31,0.765,22342,22342,1.616,0.619,0.888
15,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0021-0464,505,59.297,41.641,113.856,465.138,114.253,466.096,103,448,22,32,0.813,29945,29945,1.429,0.700,0.935
16,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0022-0466,422,51.578,27.296,162.936,466.220,162.769,466.420,152,454,22,24,0.914,21766,21766,1.085,0.922,0.944
17,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0023-0467,486,52.002,26.641,588.856,466.568,588.187,466.710,577,454,24,27,0.906,25273,25273,1.074,0.931,0.945
18,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0024-0470,537,48.626,24.335,509.846,471.023,509.369,471.492,496,456,28,28,0.669,26112,26112,1.090,0.917,0.874
19,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0026-0475,397,61.055,39.625,867.077,474.064,867.374,474.059,856,462,22,27,0.870,24239,24239,1.422,0.703,0.934
20,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0027-0481,295,45.227,32.593,566.825,481.297,568.085,481.683,557,471,19,20,0.941,13342,13342,1.093,0.915,0.939
21,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0028-0487,579,65.589,40.490,1079.049,487.552,1077.731,488.669,1062,472,31,30,0.649,37976,37976,1.576,0.635,0.891
22,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0029-0486,377,43.759,18.812,993.155,486.866,993.001,486.570,983,475,22,23,0.918,16497,16497,1.083,0.923,0.941
23,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0031-0501,729,44.801,18.160,41.770,502.903,41.081,503.402,28,482,28,39,0.724,32660,32660,1.521,0.658,0.898
24,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0033-0499,322,52.578,29.960,583.385,501.003,584.216,501.596,573,488,22,23,0.810,16930,16930,1.064,0.940,0.894
25,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0034-0503,463,49.339,22.278,647.755,502.882,647.850,503.078,637,489,23,28,0.800,22844,22844,1.384,0.723,0.897
26,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0035-0506,630,50.846,29.628,355.516,506.884,355.597,506.451,340,492,31,28,0.790,32033,32033,1.468,0.681,0.922
27,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0036-0505,431,54.357,29.108,1054.667,506.971,1055.128,507.074,1044,492,22,27,0.888,23428,23428,1.184,0.845,0.941
28,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0037-0510,390,51.887,26.577,1111.000,511.974,1111.359,512.785,1102,496,19,29,0.707,20236,20236,1.618,0.618,0.889
29,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0038-0515,599,49.870,34.529,615.512,516.146,615.942,516.645,601,497,27,36,0.497,29872,29872,1.673,0.598,0.818
30,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0039-0509,333,44.790,20.109,102.614,509.131,102.458,509.018,92,498,21,22,0.858,14915.000,14915.000,1.457,0.686,0.933
31,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0040-0517,689,51.141,26.709,492.927,518.587,492.394,516.713,481,498,25,39,0.594,35236,35236,1.938,0.516,0.838
32,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0041-0524,850,52.528,29.643,274.729,524.381,273.646,525.344,254,507,42,34,0.629,44649,44649,1.891,0.529,0.863
33,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0043-0526,361,57.180,43.680,842.990,525.622,843.451,524.263,833,514,20,24,0.900,20642,20642,1.242,0.805,0.939
34,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0044-0533,690,61.406,38.210,924.800,533.330,926.651,533.687,908,519,35,28,0.597,42370,42370,1.388,0.720,0.855
35,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0045-0532,309,61.485,43.072,668.707,532.853,668.124,532.269,659,522,19,21,0.926,18999,18999,1.057,0.946,0.944
36,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0046-0543,395,48.139,29.756,783.981,542.556,783.938,543.206,773,531,22,24,0.925,19015,19015,1.191,0.839,0.944
37,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0048-0548,268,62.097,48.710,849.754,548.291,850.460,548.255,839,539,21,19,0.864,16642,16642,1.152,0.868,0.905
38,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0049-0565,844,57.915,34.516,1142.146,564.406,1141.243,563.956,1124,548,34,35,0.856,48880,48880,1.109,0.902,0.946
39,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0050-0583,391,42.545,23.141,62.472,583.298,62.594,583.470,52,572,21,23,0.928,16635,16635,1.071,0.933,0.951
40,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0051-0592,552,49.696,30.409,527.868,592.486,527.931,592.734,514,577,27,31,0.852,27432,27432,1.416,0.706,0.937
41,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0052-0592,584,52.274,31.988,260.890,591.509,260.079,591.326,245,579,32,26,0.831,30528,30528,1.256,0.796,0.927
42,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0054-0613,421,56.860,30.695,496.811,613.745,497.009,613.758,485,601,25,25,0.850,23938,23938,1.235,0.809,0.926
43,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0373_WT_P54_MD_F_s6h1_Merged.tif_rotated.tif:0055-0621,639,54.014,33.913,1153.076,620.807,1153.280,621.037,1139,605,27,32,0.876,34515,34515,1.212,0.825,0.942
