 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0002-0310,595,64.622,50.031,437.671,309.873,437.325,310.001,424,295,27,30,0.840,38450.000,38450.000,1.164,0.859,0.919
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0003-0336,374,57.989,28.024,124.174,336.505,123.533,336.750,111,325,24,22,0.862,21688.000,21688.000,1.102,0.907,0.930
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0004-0353,1004,41.323,16.721,211.297,354.716,212.201,353.778,191,331,41,45,0.423,41488.000,41488.000,1.617,0.619,0.715
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0005-0346,603,45.622,31.159,1058.480,346.490,1058.186,346.814,1042,331,33,30,0.760,27510.000,27510.000,1.574,0.635,0.902
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0006-0353,533,63.820,47.752,334.828,354.513,334.560,354.083,322,339,25,29,0.899,34016.000,34016.000,1.101,0.908,0.950
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0007-0364,459,40.758,17.142,789.304,364.559,790.127,364.318,777,351,24,27,0.881,18708.000,18708.000,1.190,0.841,0.936
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0008-0368,479,38.775,25.562,1101.158,369.494,1100.977,369.400,1089,355,25,27,0.888,18573.000,18573.000,1.131,0.884,0.934
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0009-0374,487,50.885,32.332,979.360,374.044,979.568,374.397,967,361,26,27,0.898,24781.000,24781.000,1.044,0.958,0.936
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0011-0391,825,44.720,24.088,293.443,391.039,293.013,390.834,279,368,30,46,0.575,36894.000,36894.000,2.239,0.447,0.814
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0012-0403,826,53.433,31.490,256.291,400.769,255.863,399.567,238,382,35,42,0.659,44136.000,44136.000,1.286,0.778,0.845
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0013-0398,493,71.945,51.171,173.522,397.723,172.894,397.470,160,385,28,26,0.903,35469.000,35469.000,1.108,0.903,0.939
12,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0014-0409,615,53.963,28.557,341.708,409.648,341.889,409.299,329,391,26,37,0.797,33187.000,33187.000,1.403,0.713,0.925
13,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0384_KO_P54_MD_F_s3h1_Merged.tif_rotated.tif:0015-0406,592,43.128,27.526,569.968,404.897,569.681,404.642,554,392,31,29,0.848,25532.000,25532.000,1.135,0.881,0.926
