 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,Circ.,IntDen,RawIntDen,AR,Round,Solidity
1,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0001-0250,999,31.625,11.856,457.225,251.139,457.577,251.231,438,232,39,37,0.863,31593.000,31593.000,1.108,0.902,0.937
2,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0002-0302,1834,51.455,43.840,681.415,301.776,680.213,304.325,657,268,49,69,0.415,94368.000,94368.000,2.342,0.427,0.808
3,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0003-0292,311,36.887,18.474,281.834,292.584,282.176,292.521,272,282,19,21,0.949,11472.000,11472.000,1.105,0.905,0.953
4,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0005-0325,949,46.312,33.361,403.360,325.366,401.755,324.181,388,303,31,44,0.678,43950.000,43950.000,1.485,0.673,0.880
5,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0006-0341,948,37.745,16.238,238.270,342.898,238.384,343.027,223,320,33,43,0.699,35782.000,35782.000,1.517,0.659,0.904
6,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0008-0345,755,30.086,13.798,820.553,345.528,820.662,345.819,805,328,29,35,0.877,22715.000,22715.000,1.247,0.802,0.939
7,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0009-0363,662,43.551,29.757,540.566,363.929,540.724,365.217,528,346,28,34,0.828,28831.000,28831.000,1.264,0.791,0.923
8,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0010-0371,669,34.933,15.351,383.464,367.135,383.910,366.406,371,349,29,44,0.366,23370.000,23370.000,1.721,0.581,0.759
9,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0011-0379,843,36.986,26.093,872.989,379.923,872.774,380.207,857,360,32,38,0.670,31179.000,31179.000,1.506,0.664,0.914
10,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0012-0382,539,35.156,17.737,932.684,381.235,932.620,381.235,920,367,26,30,0.805,18949.000,18949.000,1.152,0.868,0.915
11,C1-MAX_TILESCANS_20250703_CTNND2_ASTRO_adolescent_WFA_PV_slidemounted_escent_WFA_PV_slidemounted_set2_AC0389_KO_P49_NR_F_s3h1_Merged.tif_rotated.tif:0013-0386,467,38.831,14.990,198.528,387.192,198.529,387.445,188,371,22,31,0.803,18134.000,18134.000,1.476,0.677,0.912
