Image,Animal,Genotype,Sex,Condition,Age,Slice,Hemisphere,Side,Red Puncta Count,Green Puncta Count,Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit,roiArea
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0372_WT_F_P49_NR_s2h1_Merged (combined).tif,AC0372,WT,F,NR,49,2,1,Contralateral,51,90,34,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0372_WT_F_P49_NR_s4h1_Merged (combined).tif,AC0372,WT,F,NR,49,4,1,Contralateral,80,78,41,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0372_WT_F_P49_NR_s4h2_Merged (combined).tif,AC0372,WT,F,NR,49,4,2,Ipsilateral,63,61,25,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0372_WT_F_P49_NR_s5h2_Merged (combined).tif,AC0372,WT,F,NR,49,5,2,Ipsilateral,65,59,27,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0373_WT_F_P54_MD_s1h1_Merged (combined).tif,AC0373,WT,F,MD,54,1,1,Contralateral,37,59,25,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0373_WT_F_P54_MD_s1h2_Merged (combined).tif,AC0374,WT,F,MD,54,1,2,Ipsilateral,68,73,37,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0373_WT_F_P54_MD_s2h1_Merged (combined).tif,AC0375,WT,F,MD,54,2,1,Contralateral,88,87,47,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0373_WT_F_P54_MD_s3h1_Merged (combined).tif,AC0376,WT,F,MD,54,3,1,Contralateral,68,91,55,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0384_KO_F_P54_MD_s1h1_Merged (combined).tif,AC0384,KO,F,MD,54,1,1,Contralateral,46,95,35,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0384_KO_F_P54_MD_s1h2_Merged (combined).tif,AC0384,KO,F,MD,54,1,2,Ipsilateral,58,100,44,0,3,255,3,255,4,4,1,pixels,960000
Output\MAX_TILESCANS_20250611_Ctnnd2_adolescent_WFA_PV_slidemounted_set1_escent_WFA_PV_slidemounted_set1_AC0384_KO_F_P54_MD_s4h1_Merged (combined).tif,AC0384,KO,F,MD,54,4,1,Contralateral,69,99,48,0,3,255,3,255,4,4,1,pixels,960000
